 Count File                       Function                                 Line
   815 ...her-ABM/sub_routines.jl make_season                                49
    23 ...her-ABM/sub_routines.jl make_season                                53
    21 ...her-ABM/sub_routines.jl make_season                                58
   113 ...her-ABM/sub_routines.jl make_season                                63
    59 ...her-ABM/sub_routines.jl make_season                                67
   171 ...her-ABM/sub_routines.jl make_season                                71
    50 ...her-ABM/sub_routines.jl make_season                                75
     7 ...her-ABM/sub_routines.jl make_season                                86
     1 ...-linux-gnu/julia/sys.so Array_3B_217                               -1
     3 ...-linux-gnu/julia/sys.so _21__3B_302                                -1
     1 ...-linux-gnu/julia/sys.so _21__3D__3B_482                            -1
     1 ...-linux-gnu/julia/sys.so _2A__3B_449                                -1
     6 ...-linux-gnu/julia/sys.so _2B__3B_413                                -1
     1 ...-linux-gnu/julia/sys.so _3C__3B_414                                -1
     1 ...-linux-gnu/julia/sys.so _3C__3D__3B_355                            -1
     1 ...-linux-gnu/julia/sys.so _3D__3D__3B_223                            -1
  1261 ...-linux-gnu/julia/sys.so _start_3B_1709                             -1
     3 ...-linux-gnu/julia/sys.so colon_3B_345                               -1
     9 ...-linux-gnu/julia/sys.so done_3B_346                                -1
     2 ...-linux-gnu/julia/sys.so getindex_3B_375                            -1
     4 ...-linux-gnu/julia/sys.so ht_keyindex_3B_1731                        -1
    31 ...-linux-gnu/julia/sys.so next_3B_346                                -1
    17 abstractarray.jl           *                                         368
     2 abstractarray.jl           checkbounds                                65
     8 abstractarray.jl           hcat                                      516
     3 abstractarray.jl           trailingsize                               55
     6 abstractarray.jl           trailingsize                               56
   109 array.jl                   -                                         719
     4 array.jl                   -                                         721
     3 array.jl                   -                                         723
    18 array.jl                   .*                                        756
     2 array.jl                   ./                                        756
    17 array.jl                   div                                       756
    26 array.jl                   div                                       758
     2 array.jl                   getindex                                  246
     2 array.jl                   getindex                                  247
    14 array.jl                   rem                                       756
    10 array.jl                   rem                                       758
     7 array.jl                   setindex!                                 323
     7 array.jl                   similar                                   113
     2 base.jl                    Array                                     228
   104 base.jl                    append_any                                141
     1 base.jl                    append_any                                144
     1 base.jl                    append_any                                145
